央视频道,#genre#
CCTV1,http://115.171.216.85:8888/rtp/225.1.8.1:8008
CCTV1,http://222.129.140.130:8888/rtp/239.3.1.129:8008
CCTV1,http://60.220.167.21:8085/rtp/226.0.2.153:9136
CCTV1,http://60.220.167.46:8085/rtp/226.0.2.153:9136
CCTV1,http://211.90.94.136:8085/rtp/226.0.2.16:8040
CCTV1,http://211.90.94.136:8085/rtp/226.0.2.153:9136
CCTV1,http://121.29.169.222:2083/rtp/239.253.92.83:8012
CCTV1,http://121.29.215.186:2083/rtp/239.253.92.83:8012
CCTV1,http://121.57.164.229:515/rtp/239.29.0.113:5000
CCTV1,http://111.127.157.183:51234/rtp/239.29.0.113:5000
CCTV1,http://218.1.178.14:8701/rtp/239.45.3.145:5140
CCTV1,http://218.1.187.102:8888/rtp/239.45.3.145:5140
CCTV1,http://114.95.156.205:4022/rtp/239.45.3.145:5140
CCTV1,http://115.221.83.81:8888/rtp/233.50.200.162:5140
CCTV1,http://115.221.83.81:8888/rtp/233.50.200.130:5140
CCTV1,http://115.221.83.81:8888/rtp/233.50.200.143:5140
CCTV1,http://125.118.255.64:8888/rtp/233.50.201.109:5140
CCTV1,http://125.118.255.64:8888/rtp/233.50.200.130:5140
CCTV1,http://125.118.255.64:8888/rtp/233.50.201.118:5140
CCTV1,http://27.152.51.174:1025/rtp/239.61.4.176:1025
CCTV1,http://27.152.51.174:1025/rtp/239.61.4.175:1025
CCTV1,http://223.240.176.36:8888/rtp/238.1.78.166:7200
CCTV1,http://114.96.142.103:8888/rtp/238.1.78.166:7200
CCTV1,http://121.60.91.45:37989/rtp/239.254.96.96:8550
CCTV1,http://175.9.72.48:8888/rtp/239.76.253.151:9000
CCTV1,http://220.173.254.6:6666/rtp/239.81.0.102:4056
CCTV1,http://180.137.67.126:8888/rtp/239.81.0.102:4056
CCTV1,http://180.139.221.187:18888/rtp/239.81.0.102:4056
CCTV1,http://113.65.7.94:8888/rtp/239.77.0.119:5146
CCTV1,http://113.111.16.130:8888/rtp/239.77.0.119:5146
CCTV1,http://113.111.16.130:8888/rtp/239.77.0.129:5146
CCTV1,http://113.111.16.130:8888/rtp/239.77.0.241:5146
CCTV1,http://113.111.16.130:8888/rtp/239.77.1.17:5146
CCTV1,http://113.111.16.130:8888/rtp/239.77.1.144:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.0.86:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.0.119:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.0.129:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.1.17:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.1.20:5146
CCTV1,http://119.134.111.153:8888/rtp/239.77.1.144:5146
CCTV1,http://36.101.3.42:554/rtp/239.253.64.120:5140
CCTV1,http://125.86.0.84:8888/rtp/235.254.198.51:1480
CCTV1,http://182.138.221.46:8888/rtp/239.93.0.184:5140
CCTV1,http://171.213.192.249:8088/rtp/239.93.0.184:5140
CCTV1,http://222.209.122.21:4443/rtp/239.93.0.184:5140
CCTV1,http://1.83.124.240:8888/rtp/239.109.205.118:8880
CCTV1,http://42.92.117.213:8888/rtp/239.255.29.40:8231
CCTV1,http://42.92.117.213:8888/rtp/239.255.30.101:8231
CCTV1,http://124.224.82.69:8888/rtp/239.121.4.113:8636
CCTV1,http://124.224.85.18:2000/rtp/239.121.4.113:8636
CCTV2,http://115.171.216.85:8888/rtp/225.1.8.2:8084
CCTV2,http://60.27.20.120:5555/rtp/225.1.1.133:5002
CCTV2,http://223.10.214.230:6006/rtp/239.1.1.8:8008
CCTV2,http://223.10.214.230:6008/rtp/239.1.1.8:8008
CCTV2,http://223.10.214.230:6009/rtp/239.1.1.8:8008
CCTV2,http://121.29.169.222:2083/rtp/239.253.92.190:6065
CCTV2,http://121.29.215.186:2083/rtp/239.253.92.190:6065
CCTV2,http://121.57.164.229:515/rtp/239.29.0.116:5000
CCTV2,http://111.127.157.183:51234/rtp/239.29.0.116:5000
